epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,694.445,1.39059,1.30547,1.69146,0.85227,0.68182,0.81362,0.5294,1.28412,1.20018,1.72293,0.0012212,0.0012212,0.0012212
61,705.68,1.40007,1.28896,1.7018,0.87046,0.7127,0.81559,0.53359,1.20811,1.17247,1.70616,0.001208,0.001208,0.001208
62,717.126,1.39412,1.32084,1.68862,0.83498,0.7197,0.82439,0.53684,1.21712,1.18179,1.69918,0.0011948,0.0011948,0.0011948
63,728.63,1.39656,1.29996,1.68924,0.79812,0.74875,0.80599,0.53256,1.22791,1.22216,1.70267,0.0011816,0.0011816,0.0011816
64,740.138,1.36684,1.31545,1.65838,0.77938,0.69585,0.80001,0.52242,1.26741,1.23695,1.7147,0.0011684,0.0011684,0.0011684
65,751.375,1.37194,1.27851,1.67166,0.78461,0.74242,0.82514,0.55224,1.22659,1.16594,1.65162,0.0011552,0.0011552,0.0011552
66,763.144,1.34915,1.24107,1.66824,0.7395,0.76515,0.80428,0.54466,1.19005,1.15283,1.67658,0.001142,0.001142,0.001142
67,774.427,1.36523,1.27749,1.66848,0.8518,0.74026,0.81911,0.57093,1.14662,1.12586,1.63223,0.0011288,0.0011288,0.0011288
68,786.368,1.36758,1.26918,1.67718,0.8653,0.68182,0.82512,0.55739,1.16907,1.12562,1.66104,0.0011156,0.0011156,0.0011156
69,797.92,1.38784,1.2436,1.68597,0.78153,0.75884,0.83324,0.55446,1.22096,1.12798,1.6506,0.0011024,0.0011024,0.0011024
70,809.427,1.32236,1.27696,1.61499,0.80297,0.74101,0.83493,0.56383,1.20268,1.07322,1.65005,0.0010892,0.0010892,0.0010892
71,820.73,1.32486,1.26358,1.65012,0.77948,0.72301,0.82161,0.56521,1.16638,1.11618,1.66234,0.001076,0.001076,0.001076
72,832.095,1.33089,1.25978,1.63324,0.86081,0.67424,0.82537,0.57718,1.15598,1.1058,1.63152,0.0010628,0.0010628,0.0010628
73,843.84,1.34209,1.25798,1.64603,0.83054,0.70455,0.83461,0.57707,1.15997,1.08589,1.6421,0.0010496,0.0010496,0.0010496
74,854.957,1.32559,1.25086,1.63213,0.86409,0.72251,0.86631,0.59086,1.14298,1.06268,1.59412,0.0010364,0.0010364,0.0010364
75,866.319,1.31922,1.19298,1.64054,0.8393,0.77273,0.85772,0.59994,1.1483,1.04901,1.62761,0.0010232,0.0010232,0.0010232
76,878.358,1.3241,1.18091,1.63511,0.74817,0.78774,0.84493,0.58438,1.17373,1.08953,1.65061,0.00101,0.00101,0.00101
77,889.729,1.27765,1.17323,1.57125,0.81537,0.78788,0.86322,0.60199,1.09973,1.10189,1.54213,0.0009968,0.0009968,0.0009968
78,901.205,1.31935,1.16224,1.61026,0.79081,0.79545,0.85188,0.58876,1.15373,1.09406,1.61672,0.0009836,0.0009836,0.0009836
79,912.425,1.28151,1.15732,1.60186,0.78275,0.76515,0.81909,0.54608,1.19184,1.09956,1.66959,0.0009704,0.0009704,0.0009704
80,923.817,1.28843,1.16535,1.59386,0.81384,0.7803,0.86453,0.59952,1.11111,0.97827,1.55853,0.0009572,0.0009572,0.0009572
81,935.106,1.31892,1.20424,1.62003,0.85432,0.75758,0.84955,0.59912,1.12538,1.00386,1.58045,0.000944,0.000944,0.000944
82,946.6,1.27823,1.21138,1.60814,0.82406,0.74514,0.8558,0.58872,1.13876,1.03227,1.58463,0.0009308,0.0009308,0.0009308
83,957.966,1.25989,1.16002,1.56936,0.8336,0.75,0.86253,0.606,1.14041,1.01254,1.58089,0.0009176,0.0009176,0.0009176
84,969.443,1.26715,1.1232,1.58993,0.77229,0.7803,0.8577,0.60484,1.10342,1.03287,1.56594,0.0009044,0.0009044,0.0009044
85,980.445,1.2861,1.16618,1.58695,0.82046,0.80303,0.89286,0.61257,1.12194,0.97822,1.55371,0.0008912,0.0008912,0.0008912
86,991.98,1.26955,1.12181,1.56844,0.79518,0.78788,0.86413,0.61253,1.11158,0.9813,1.5643,0.000878,0.000878,0.000878
87,1003.86,1.22175,1.09661,1.531,0.80056,0.78788,0.84663,0.58167,1.14641,0.99055,1.55298,0.0008648,0.0008648,0.0008648
88,1015.29,1.28463,1.1486,1.58262,0.86246,0.78788,0.89211,0.62662,1.04914,0.9635,1.5241,0.0008516,0.0008516,0.0008516
89,1026.72,1.25428,1.14897,1.57126,0.87157,0.77273,0.87484,0.61892,1.0811,0.99357,1.54367,0.0008384,0.0008384,0.0008384
