epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,1235.86,1.07146,0.85626,1.51021,0.8863,0.84848,0.93865,0.69063,1.00137,0.71139,1.69779,0.000614,0.000614,0.000614
107,1247.56,1.08563,0.85758,1.53766,0.88654,0.88793,0.93048,0.682,0.97093,0.73935,1.6283,0.0006008,0.0006008,0.0006008
108,1259.25,1.06534,0.84036,1.4985,0.85141,0.91161,0.94814,0.71198,0.96411,0.67962,1.65645,0.0005876,0.0005876,0.0005876
109,1271,1.08518,0.84377,1.54291,0.90901,0.90152,0.95823,0.72466,0.92616,0.66407,1.64602,0.0005744,0.0005744,0.0005744
110,1283,1.03829,0.84053,1.49561,0.90935,0.91196,0.96558,0.72739,0.92451,0.64105,1.62666,0.0005612,0.0005612,0.0005612
111,1294.24,1.04467,0.84442,1.51372,0.86773,0.86364,0.93998,0.71026,0.9397,0.67477,1.63837,0.000548,0.000548,0.000548
112,1306.05,1.05027,0.86337,1.49698,0.90064,0.85606,0.95314,0.72178,0.94269,0.68051,1.60704,0.0005348,0.0005348,0.0005348
113,1317.91,1.04486,0.82298,1.51838,0.86135,0.90909,0.94588,0.70997,0.93121,0.68291,1.64212,0.0005216,0.0005216,0.0005216
114,1329.52,1.05502,0.84436,1.52327,0.92903,0.89252,0.96324,0.73148,0.90341,0.62983,1.643,0.0005084,0.0005084,0.0005084
115,1340.95,1.0765,0.84628,1.53691,0.89127,0.88636,0.94451,0.71124,0.9477,0.67209,1.69242,0.0004952,0.0004952,0.0004952
116,1352.58,1.01447,0.79356,1.4913,0.87409,0.90909,0.94861,0.71439,0.91923,0.65989,1.65206,0.000482,0.000482,0.000482
117,1364.09,1.02537,0.80972,1.4741,0.88621,0.89394,0.96102,0.73833,0.92331,0.63148,1.62779,0.0004688,0.0004688,0.0004688
118,1375.65,1.03257,0.83095,1.49559,0.90383,0.90152,0.95716,0.74033,0.91851,0.61972,1.64843,0.0004556,0.0004556,0.0004556
119,1387.33,1.02361,0.80939,1.48302,0.89866,0.85606,0.9514,0.74419,0.89176,0.64492,1.64519,0.0004424,0.0004424,0.0004424
120,1398.99,1.00596,0.81565,1.48463,0.88984,0.91791,0.96153,0.75081,0.87894,0.62932,1.62426,0.0004292,0.0004292,0.0004292
121,1410.78,1.01244,0.80517,1.45577,0.91473,0.89394,0.96063,0.74241,0.88873,0.62289,1.6421,0.000416,0.000416,0.000416
122,1422.39,1.00859,0.82643,1.47135,0.91596,0.90831,0.96513,0.75073,0.88344,0.60547,1.64648,0.0004028,0.0004028,0.0004028
123,1433.75,1.03227,0.82554,1.50506,0.90836,0.90112,0.96832,0.74537,0.92125,0.63724,1.66623,0.0003896,0.0003896,0.0003896
124,1446.11,1.0162,0.77346,1.47991,0.90429,0.88636,0.96209,0.73966,0.88942,0.6271,1.58109,0.0003764,0.0003764,0.0003764
125,1457.35,1.00079,0.80488,1.46163,0.911,0.90909,0.96266,0.7432,0.89703,0.61786,1.66171,0.0003632,0.0003632,0.0003632
