epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1109.49,2.16078,1.78248,2.93444,0.82575,0.81818,0.90267,0.67952,1.9212,1.34755,3.01516,0.0008384,0.0008384,0.0008384
90,1120.92,2.14521,1.69628,2.92965,0.87017,0.84091,0.91915,0.69322,1.88489,1.27958,2.9534,0.0008252,0.0008252,0.0008252
91,1132.31,2.16932,1.74609,2.89096,0.81825,0.8527,0.90848,0.6905,1.84855,1.35245,2.93609,0.000812,0.000812,0.000812
92,1144.05,2.15232,1.76832,2.92213,0.76916,0.80776,0.87544,0.67455,1.79563,1.41999,2.90984,0.0007988,0.0007988,0.0007988
93,1155.85,2.16687,1.79354,2.91203,0.81237,0.7803,0.87209,0.6566,1.78289,1.52897,2.90171,0.0007856,0.0007856,0.0007856
94,1167.44,2.11707,1.65566,2.89435,0.86392,0.81763,0.90483,0.70405,1.77792,1.29587,2.87782,0.0007724,0.0007724,0.0007724
95,1178.88,2.12462,1.66983,2.87685,0.82705,0.83333,0.90916,0.70221,1.73982,1.266,2.85453,0.0007592,0.0007592,0.0007592
96,1190.29,2.11306,1.67645,2.89245,0.85374,0.77273,0.86042,0.64581,1.79741,1.51338,2.87716,0.000746,0.000746,0.000746
97,1201.78,2.07173,1.64724,2.8974,0.78585,0.90152,0.92357,0.72145,1.70435,1.15002,2.81108,0.0007328,0.0007328,0.0007328
98,1213.35,2.07626,1.66957,2.8677,0.77439,0.83209,0.85785,0.6393,1.74487,1.45447,2.8738,0.0007196,0.0007196,0.0007196
99,1224.82,2.06808,1.60873,2.83992,0.8129,0.82576,0.89347,0.69294,1.75232,1.27042,2.8054,0.0007064,0.0007064,0.0007064
100,1236.46,2.03273,1.62591,2.84696,0.86116,0.78788,0.91434,0.71599,1.75037,1.22636,2.80847,0.0006932,0.0006932,0.0006932
101,1247.98,2.08388,1.67156,2.87132,0.77014,0.89394,0.89553,0.68705,1.78022,1.29992,2.83668,0.00068,0.00068,0.00068
102,1259.48,2.07309,1.55753,2.87187,0.78158,0.89394,0.91994,0.72033,1.64967,1.23381,2.75176,0.0006668,0.0006668,0.0006668
103,1270.99,2.00262,1.64238,2.81975,0.8116,0.85606,0.8899,0.69267,1.68871,1.3323,2.79545,0.0006536,0.0006536,0.0006536
104,1282.79,2.01715,1.5529,2.77005,0.85854,0.87362,0.93281,0.72715,1.65337,1.13548,2.80086,0.0006404,0.0006404,0.0006404
105,1294.3,1.97467,1.57874,2.80065,0.85217,0.84848,0.92276,0.72015,1.65375,1.17022,2.75702,0.0006272,0.0006272,0.0006272
106,1305.56,1.99053,1.51162,2.74204,0.82839,0.86364,0.91767,0.71709,1.63823,1.15419,2.75611,0.000614,0.000614,0.000614
107,1317.34,1.95674,1.50851,2.73968,0.8341,0.84848,0.91284,0.7153,1.66761,1.15744,2.74692,0.0006008,0.0006008,0.0006008
108,1329.02,1.97093,1.45001,2.72766,0.86661,0.80303,0.91005,0.70845,1.67788,1.27687,2.84667,0.0005876,0.0005876,0.0005876
109,1340.48,2.01623,1.54665,2.7787,0.84882,0.86364,0.92298,0.73706,1.65348,1.19992,2.76944,0.0005744,0.0005744,0.0005744
110,1352.22,1.92303,1.47896,2.71912,0.86708,0.84009,0.9428,0.74917,1.63698,1.11413,2.71822,0.0005612,0.0005612,0.0005612
111,1363.48,1.93331,1.47469,2.74097,0.82444,0.88943,0.92055,0.72959,1.67348,1.09237,2.79241,0.000548,0.000548,0.000548
112,1375.02,1.94098,1.51297,2.70412,0.83524,0.85606,0.92262,0.7201,1.68797,1.11624,2.74406,0.0005348,0.0005348,0.0005348
113,1386.37,1.92933,1.48842,2.73037,0.7873,0.89734,0.92137,0.73279,1.59138,1.20003,2.73491,0.0005216,0.0005216,0.0005216
114,1398.01,1.95283,1.5338,2.75797,0.82048,0.90152,0.92806,0.73316,1.60351,1.11285,2.6798,0.0005084,0.0005084,0.0005084
115,1409.31,1.9405,1.53029,2.76245,0.87874,0.87839,0.93973,0.74202,1.59124,1.13699,2.66116,0.0004952,0.0004952,0.0004952
116,1420.75,1.86012,1.4213,2.67003,0.84685,0.8378,0.92159,0.73716,1.53041,1.12386,2.63563,0.000482,0.000482,0.000482
117,1432.2,1.8674,1.41653,2.66906,0.81221,0.87879,0.93048,0.74812,1.60713,1.04477,2.68429,0.0004688,0.0004688,0.0004688
118,1443.58,1.88575,1.47316,2.70062,0.79989,0.90152,0.92506,0.74245,1.5623,1.10662,2.62954,0.0004556,0.0004556,0.0004556
119,1455.25,1.8577,1.42649,2.67391,0.84748,0.87121,0.92413,0.73823,1.60691,1.15417,2.65933,0.0004424,0.0004424,0.0004424
120,1466.62,1.87067,1.43584,2.71474,0.84557,0.87879,0.93105,0.74792,1.5424,1.06011,2.63774,0.0004292,0.0004292,0.0004292
121,1478.27,1.87716,1.41148,2.66649,0.86662,0.88636,0.93135,0.75278,1.54323,1.10519,2.59984,0.000416,0.000416,0.000416
122,1489.9,1.85417,1.38879,2.63026,0.85433,0.84423,0.93798,0.7621,1.56783,1.03121,2.6358,0.0004028,0.0004028,0.0004028
123,1501.3,1.92302,1.45416,2.74025,0.82779,0.90909,0.94497,0.75221,1.59238,1.08463,2.62988,0.0003896,0.0003896,0.0003896
124,1513.24,1.86569,1.35607,2.6817,0.81965,0.85606,0.91765,0.74612,1.55295,1.08625,2.61546,0.0003764,0.0003764,0.0003764
